en_query,cs_query,gen_query
pause my timer ,mere timer ko roko, mere timer ko pause kare 
please make video message for liz,Please Liz ke liye video message banaye, please queens ke liye ek video message bhejo 
create an alarm at 4 pm and 9 pm on tuesday,Alarm create karo at 4 pm and 9 pm on tuesday, tuesday ko 9 pm aur 4 pm ko alarm create kare 
library events in cedar park,Library events Cedar Park me hai, cedar park me library events 
please pause timer,Please timer ko rokey, please timer ko rokey 
play 80s playlist,80s ki playlist ko play kijiye, 80s ki playlist bajao 
iran forecast ,Iran ka forecast, forecast 
cancel timer,Timer ko cancel kijiye, timer ko cancel karo 
how much time is left on the timer ,Timer me kitna time bacha hai?, timer par kitna time bacha he 
reminders for roxy please,Please Roxy ke liye reminders lagaiye, please vacation ke liye reminders ko dikhao 
please play gospel music,Please gospel music play kare, please gospel music bajao 
play new releases on spotify,Spotify par naye releases bajayein, spotify par naye new releases play kare 
message my mom and ask her what time she wants us to come over sunday afternoon for dinner ,Message my mom aur pucho ki what time she wants us to come over Sunday afternoon for dinner?, mere ma ko message karo aur pucho ki if he is g
send me all reminders about the upcoming baby shower,mujhe upcoming baby shower ke sare reminders bheje, muje upcoming baby ke sabhi upcoming songs banao 
check for david gilmore concerts in new york next spring,Next spring New York me David Gilmore concerts ke liye check kariye, next weekend ko new york city me craft visit ke 
kid friendly music,bacchon ke liye music, bacchon ke liye music 
show me all of my alarms for the next two weeks ,Mujhe mere all alarms dikhao for the next two weeks., agley do hafton ke liye mujhe mere sabhi alarms di
how will it be out there this weekend,Kaise hoga waha this weekend, is weekend ko kitna humid rahega 
is traffic still heavy in 494 northbound at 6 : 00 pm,Kya abhi bhi traffic bhari hai 494 northbound me at 6 : 00 pm, kya 6 : 00 pm ko traffic square me stuck rahega 
wake at 7 am,jagao mujhe at 7 am, 7 am ko 
please snooze,please snooze karen, please snooze karen 
do i have any reminders before noon on friday ,Kya mere pas koi reminders hai before noon on Friday?, kya mere paas friday dopahar ko koi reminders hai 
when does hurricane season end,hurricane ka mausam kab khatam hoga, hurricane ka season kab khatam hoga 
what is the temperature expected to be next week,next week temperature kya hone ki ummeed hai, agle hafte ka temperature kitna hone wala hai 
remove the reminders for work alarms,Work alarms ke liye reminders nikaliye, work ke liye alarms hata do 
play mr jones by counting crows,Counting Crows ka Mr . Jones play karo, fred dwara star wars ko play kare 
how hot is it in dubai today,Today Dubai me kitna hot hai, aaj aasmaan me kitna hot hai 
can you create a new alarm for me,Kya aap mere liye ek new alarm create kar sakte hai, kya aap mere liye ek naya alarm create karsakte
who is this message from ,Yeh message kiska hai?, ye se message kia hai 
can you message everyone in my family if they want to grab drinks for my birthay,Kya aap meri family me sabko message karsakte hai if they want to grab drinks for my birthday, kya aap mere bhai ko message karsakte hai ki meri 
tell me how long it will take to get to the elementary school if i leave in 5 minutes ,Muje bataiye ki agar me in 5 minutes me nikal jata hu to muje the elementary school pohochne me kitna time lagega, agar mujhe batao ki subha 5 minutes nikal jaoo
show me new messages from work chat,Mujhe new messages dikhao work chat se, mujhe work chats se naye messages dikhao 
ask jordan when the wedding is ,Jordan se pucho ki when the wedding is ., mike ko pucho ki when he is 
what is the forecast in boston next week,next week me boston ka kya forecast hai, boston me agle hafte ka forecast kya hai 
play upbeat songs,Upbeat songs bajaiye, songs play kare 
what time of day is the least amount of traffic on the 101,101 par din ke konse time par sab se kam traffic hai, 101 par kis din sabse kam traffic me sabse kam
how is the traffic on i 90 currently,currently i - 90 par traffic kaisa hai, i 90 par currently traffic kaisa hai 
what is the temperature going to be tonight,Tonight ka temperature kya hone wala hai, aj raat ka temperature kitna hone wala hai 
play sam hunt,sam hunt play karo, sam hunt ko play karo 
how long will it take to get to nyc this afternoon,This afternoon NYC pahunchne me kitni der lagegi, aaj dopahar nyc me jane ke liye kitni der lagegi 
reset the timer for 10 minutes,Timer ko reset kijiye for 10 minutes, timer ko 10 minutes ke liye reset kare 
concerts by coldplay,Coldplay dwara concerts, coldplay ke concerts 
were there any accidents on the watterson expressway this morning,Kya the Watterson Expressway me this morning koi accidents hue the, kya aaj subah expressway par koi accidents huwe
should i wear my rain boots tomorrow ,kya tomorrow mai apne rain boots pehenu?, kya muje kal mere rain boots pehanna chahiye 
turn off timer ,timer ko band kardo., timer band kare 
crisper add 3 minutes,"Crisper, 3 minutes add karo", 3 minutes add karo 
what is the traffic like in san francisco this evening,San Francisco me traffic kaisi hai this evening, is evening san francisco me traffic kaisa hai 
will i need an umbrella today ,Today kya mujhe umbrella ki zaroorat padegi, kya muje aaj umbrella ki zarurat padegi 
please set an alarm called jogtime this evening ,kripya aaj evening ke liye Jogtime ka alarm set kariye, please alarm set karo for this evening naam 
can you play the top hip hop song for the week ,kya aap is hafte ka top hip hop song bajasakte hai?, kya aap last song ke liye hip hop of play karenge 
what s going on this weekend in houston,This weekend Houston me kya chal raha hai, is weekend houston mei kya hone wala hai 
start timer,timer ko start karo, timer ko start karo 
skip this song,Is song ko skip kijiye, ye song ko skip kare 
traffic info for manhattan,Manhattan ke liye traffic info, manhattan se ki traffic heavy 
are there any traffic delays on the turnpike ,kya the turnpike par koi traffic delays hai?, kya turnpike par koi traffic delays hai 
remind me buy shorts for my daughter this saturday at 12,Mujhe yaad dilaiye to buy shorts for my daughter this saturday at 12, mujhe is saturday ko 6 pm ko kuch aane ke liye mo
music festival in tampa next month,Tampa me next month music festival, agle mahine tampa me music festival hai 
set alarms for friday saturday and sunday,"alarms set karo for Friday, Saturday and Sunday", saturday aur sunday ke liye alarms set karen 
